Text,Link,Summarized_Data,Sentiment
"Watch the moment Artemis II blasts into space After delays and technical issues, the first crewed Moon mission in 50 years finally took off from Florida and is now in Earth's orbit.",https://www.bbc.com/news/videos/cwydnrmggnno,"– The Artemis crew are officially on their way in a historic 10-day mission around the moon, which could take them further from Earth than anyone has ever been before. The crew on the 10-day mission won't land on the moon, but plan to circle it, while traveling further from Earth than anyone has ever been before. Following on from the unmanned Artemis I mission in 2022, Nasa's Artemis program is preparing for deep-space missions - with an ultimate goal of reaching Mars in the 2030s. The BBC's live coverage of the launch here.",Positive
Inside the mission to fly humans further than ever Take a detailed look at the rocket and astronauts embarking on a journey of more than half a million miles.,https://www.bbc.co.uk/news/resources/idt-86aafe5a-17e2-479c-9e12-3a7a41e10e9e,"– Four astronauts will take a trip of more than half a million miles around our celestial neighbor and back home in a mission filled with wonderment, but also danger. NASA's Artemis II mission—which is scheduled to launch as soon as 1 April—will bring us stunning views of the moon and a new understanding of the lunar environment. But the voyage comes with serious risks—the crew will fly in a spacecraft never used by humans before. And there will be personal challenges: the astronauts will spend 10 days cramped together in a spacecraft the size of a minibus. The astronauts will start their journey on NASA's mega Moon rocket, the Space Launch System. It is the most powerful rocket the US space agency has ever built and will blast off from the Kennedy Space Center in Cape Canaveral, Florida. The astronauts will spend their 10-day mission crammed inside the Orion crew capsule—which is about 5m wide by 3m high (15ft x 9ft) to get used to living in such a confined space, the crew has been spending as much time in each others' company as possible. But the voyage comes with serious risks—the crew will fly in a spacecraft never used by humans before. And there will be personal challenges: the astronauts will spend 10 days cramped together in a spacecraft the size of a minibus.",Positive
"First stop, the Moon. Next stop, Mars? Why Nasa's mission matters From a race with China to lunar discoveries, the US is investing time, effort and money to head to the Moon - and beyond.",https://www.bbc.com/news/articles/cd6wp6xenv0o,"– America's Apollo missions made history when the first people set foot on the lunar surface. With six landings in total, it felt like the Moon had been well and truly ticked off the space to-do list. So why is the US spending so much time, effort and money racing to return? The terrain might look dry, dusty and seems rather barren, but it's far from that. ""The Moon has got the same elements in it that we have here on Earth,"" says Prof Sara Russell, a planetary scientist at the Natural History Museum. The US has its sights set on Mars and wants to send people there by the 2030s. But now it really matters where you plant it. Both the US and China want access to the areas with the most abundant resources, which means securing the best lunar real estate.",Positive
"How the astronauts will go to the toilet For the 10-day mission, Nasa scientists have developed a new ""universal waste management system"" - or space loo.",https://www.bbc.com/news/videos/cx2rw1jyx73o,"– When you're in zero gravity, how do you go to the toilet? That's what Nasa scientists have spent more than $23 million figuring out in time for the launch of Artemis II later this week. They've come up with what they're calling the 'Universal Waste Management System', which allows for both stool and urine, and is designed for women and men. Artemis II, which is the first lunar fly-around mission in more than 50 years, is due to launch on 1 April.",Negative
"The personal items the crew are taking to the Moon The crew, who are accomplished pilots, engineers and scientists, reveal their hopes, fears and family sacrifices.",https://www.bbc.com/news/articles/cdj7e11pw10o,"– Four astronauts are about to become the most closely watched crew since Apollo. They will be the first in more than 50 years to orbit the moon, testing the path back for the next generation. The crew includes three Nasa astronauts— Commander Reid Wiseman, Victor Glover and Christina Koch—along with Jeremy Hansen of the Canadian Space Agency. Not only are they accomplished pilots, engineers and scientists, they are also spouses and parents balancing a heroic adventure against the risks they and their loved ones will face. Here's what we know about them. Reid Wiseman is a US Navy test pilot turned astronaut, who spent six months on the International Space Station in 2014 as a flight engineer on Expedition 40. Koch is an engineer and physicist who became an astronaut in 2013 and went on to set the record for the longest single spaceflight by a woman, spending 328 days aboard the International Space Station in 2019. He will command Artemis II in what is the second flight of the Orion spacecraft, and the first to carry people around the moon in more than 50 years. Born in Baltimore, Maryland, Wiseman lost his wife to cancer in 2020 and has raised their two teenage daughters alone. He describes being a single parent as his ""greatest challenge and the most rewarding phase"" of his life.",Positive
What do Trump's latest comments on leaving Nato mean for the alliance? Trump has criticised Nato members for showing a lack of support for US objectives in Iran.,https://www.bbc.com/news/articles/c79je4vldq5o,"– President Trump has repeatedly dismissed NATO as a ""paper tiger,"" described it as ""obsolete,"" and said that it was ""costing a fortune"" for the US. Now he's doing it again. Asked by Britain's Telegraph newspaper if he is reconsidering US membership of NATO, he said: ""Oh yes... I would say [it's] beyond reconsideration""—furious again that his partners weren't joining America's military operations, alongside Israel, against Iran. Trump also referenced Ukraine in the Telegraph, saying: ""We've been there automatically, including Ukraine."" After Russia's audacious full-scale invasion of Ukraine in February 2022, the then-US President Joe Biden did take a leading role in shaping the response of individual Western governments because he believed President Putin's actions threatened them all. Trump's invective underlines again his misunderstanding of how this 32-member alliance works. Even before Trump entered the White House in 2017, he repeatedly dismissed NATO as a ""paper tiger,"" described it as ""obsolete"", and said that it was ""costing a fortune"" for the US.",Negative
"Alleged Bondi gunman loses court bid to suppress names of his family Lawyers for Naveed Akram had argued his mother, brother and sister live in 'constant fear'.",https://www.bbc.com/news/articles/c4glrnv3qlvo,"– The alleged Bondi gunman has lost his court bid to suppress the names and addresses of his mother, brother and sister due to fears over their safety. Lawyers for Naveed Akram - who is facing 59 charges over December's attack on a Jewish festival on Bondi Beach that killed 15 people - argued that his family could be targeted by vigilantes and had already experienced abuse. Last month, details of Akram's family were suppressed under an interim order but on Thursday, a Sydney court lifted it after several media outlets opposed the move. The case had attracted ""unprecedented"" attention in Australia and globally, the judge ruled, and information about the family was already widely available online. He said the request for a suppression order lasting 40 years did not meet the exceptional circumstances threshold and would have limited impact as it would only apply in Australia and not social media platforms or international media outlets. The judge said it was ""unfortunate"" that Akram's driver's license had already been posted online but that his lawyers had not properly explained how an order could be enforced.",Negative
Republicans unveil plan to end partial government shutdown The plan would fund the Department of Homeland Security and immigration and border agencies separately.,https://www.bbc.com/news/articles/cly63j5y97yo,"– Congressional Republicans say they have reached a deal to end the partial US government shutdown—the longest in history—as early as this week. The plan would fund most of the Department of Homeland Security through one spending package, and Immigration and Customs Enforcement (ICE) and Customs and Border Protection (CBP) through a separate budget. After infighting in recent days, Republican House Speaker Mike Johnson and Senate Majority Leader John Thune jointly confirmed the deal. Top Democrat Chuck Schumer said Republicans had ""caved."" The impasse has spawned chaos at US airports due to a shortage of Transportation Security Administration (TSA) officers at security checkpoints. Johnson and Thune said in their joint statement that lawmakers in their party—which holds narrow majorities in both chambers—will ""in the coming days"" follow through on President Donald Trump's directive to fully fund DHS using two parallel tracks. Trump demanded in a social media post earlier on Wednesday that Republicans bring him a bill to fund border patrol and ICE agents by 1 June. While ICE was able to pay its agents using money from Trump's massive tax and spending bill passed last year, another part of DHS, the TSA, could not pay workers.",Neutral
"Buildings destroyed as 7.4-magnitude earthquake hits Indonesia Authorities have lifted tsunami warnings, but locals are still reckoning with the aftermath of the quake.",https://www.bbc.com/news/live/c8xy522nd5lt,"– A 7.4-magnitude earthquake hit Indonesia at 06:48 local time on Thursday (22:48 BST on Wednesday) The quake, initially recorded at a magnitude of 7.8, hit in the Molucca Sea, near the center of the archipelago, the US Geological Survey (USGS) reported Authorities have lifted tsunami warnings after earlier saying that waves were possible along the coasts of Indonesia, the Philippines and Malaysia Locals in nearby cities across the archipelago told the BBC there was fear and destruction in the aftermath of the quake, remarking on its intensity The epicenter of the quake was about 75 miles from the city of Ternate, which has a population of more than 205,000 people",Negative
"US Supreme Court appears sceptical of US birthright citizenship challenge Trump attended the oral arguments in person on Wednesday, a rare move by a sitting president that underscored the high stakes of the case.",https://www.bbc.com/news/articles/cje47jk49k0o,"– The Supreme Court has appeared sceptical of President Trump's executive order limiting birthright citizenship, a sign the justices could strike down a key element of his immigration agenda. During more than two hours of arguments, US Solicitor General John Sauer sought to convince the justices that the 14th Amendment - which establishes birthright citizenship and was extended to formerly enslaved people - and subsequent court rulings and laws passed by Congress all mistakenly expanded birthright citizenship. Chief Justice John Roberts, a key swing vote on the court, questioned Trump's authority to exclude children of undocumented immigrants from receiving US citizenship. During more than two hours of arguments, US Solicitor General John Sauer sought to convince the justices that the 14th Amendment - which establishes birthright citizenship and was extended to formerly enslaved people - and subsequent court rulings and laws passed by Congress all mistakenly expanded birthright citizenship. But several justices said that interpretation would fundamentally reshape how Americans and people worldwide understand the US birthright citizenship process. The court could choose to focus on a 1952 law passed by Congress that codified birthright citizenship and not wade into the larger constitutional debate, said Stephen Yale-Loehr, an immigration law expert.",Negative
